trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",35,18,-21.23442370410046,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,0,11.650748427895858,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",20,5,-29.090724307449324,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,6,-9.66959638838702,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,12,2.7973806258071323,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,18,-57.72313490728007,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,0,-1.6468680787751655,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,3,-61.61783119076534,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",30,16,16.419918935941773,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,0,-9.264105637127782,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",25,0,-10.934690086984252,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,15,20.426116152343912,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,11,16.190850188631593,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,6,26.798202673248916,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
