trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.6619999999999997}",20,0,-137.78713577688762,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
170,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-38.6656576009214,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.6579999999999997}",30,0,-144.07829621206454,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
172,False,"{'a': 0.5, 'e': 0.6559999999999997}",30,0,-111.77799100640992,"{0: 16, 1: 7, 2: 5, 3: 2, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.6539999999999997}",35,0,-167.54504137230674,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.6519999999999997}",35,0,-74.14234487419546,"{0: 25, 1: 1, 2: 8, 3: 1, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-109.61702492638675,"{0: 19, 1: 3, 2: 4, 3: 4, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.6479999999999997}",25,0,-97.93674484412179,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.6459999999999997}",25,0,-158.77716269585252,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
178,False,"{'a': 0.5, 'e': 0.6439999999999997}",25,15,-16.00665088495714,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.6419999999999997}",20,0,-117.7446496646288,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-74.1894018527135,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.6379999999999997}",20,0,-116.02962548908188,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
182,False,"{'a': 0.5, 'e': 0.6359999999999997}",35,0,-99.18434486423422,"{0: 25, 1: 3, 2: 4, 3: 3, 4: 0}",0
183,False,"{'a': 0.5, 'e': 0.6339999999999997}",35,0,-35.152683050720206,"{0: 26, 1: 5, 2: 4, 3: 0, 4: 0}",0
